key,date,value
2014-08-04,11:26:42,0.160661
2014-08-04,11:26:43,0.196928
2014-08-04,11:26:44,0.18546
2014-08-04,11:31:19,0.108668
2014-08-04,11:31:29,0.100715
2014-08-04,11:31:30,0.103153
2014-08-04,11:31:33,0.107347
2014-08-04,11:31:34,0.108937
2014-08-04,11:31:35,0.109999
2014-08-04,11:31:36,0.157474
2014-08-04,11:31:37,0.15757
2014-08-04,11:31:38,0.168547
2014-08-04,11:31:39,0.169608
2014-08-04,11:31:40,0.102902
2014-08-04,11:31:41,0.101663
2014-08-04,11:31:43,0.140816
2014-08-04,11:31:47,0.101902
2014-08-04,11:31:48,0.13228
2014-08-04,11:31:49,0.162813
2014-08-04,11:31:50,0.13343
2014-08-04,11:31:51,0.209972
2014-08-04,11:31:52,0.287857
2014-08-04,11:31:53,0.295952
2014-08-04,11:31:54,0.278398
2014-08-04,11:31:55,0.294721
2014-08-04,11:31:56,0.29242
2014-08-04,11:31:57,0.300477
2014-08-04,11:31:58,0.331652
2014-08-04,11:31:59,0.325888
2014-08-04,11:32:00,0.340956
2014-08-04,11:32:01,0.347943
2014-08-04,11:32:02,0.348254
2014-08-04,11:32:04,0.356565
2014-08-04,11:32:05,0.346892
2014-08-04,11:32:06,0.338155
2014-08-04,11:32:07,0.334317
2014-08-04,11:32:08,0.309035
2014-08-04,11:32:09,0.304657
2014-08-04,11:32:10,0.330602
2014-08-04,11:32:12,0.339858
2014-08-04,11:32:13,0.354054
2014-08-04,11:32:14,0.354823
2014-08-04,11:32:15,0.352922
2014-08-04,11:32:16,0.354689
2014-08-04,11:32:17,0.62064
2014-08-04,11:32:18,0.600527
2014-08-04,11:32:19,0.620517
2014-08-04,11:32:20,0.712294
2014-08-04,11:32:21,0.606051
2014-08-04,11:32:22,0.621616
2014-08-04,11:32:23,0.549249
2014-08-04,11:32:24,0.561496
2014-08-04,11:32:25,0.577748
2014-08-04,11:32:26,0.583708
2014-08-04,11:32:28,0.585595
2014-08-04,11:32:29,0.534508
2014-08-04,11:32:30,0.535867
2014-08-04,11:32:31,0.668606
2014-08-04,11:32:32,0.66391
2014-08-04,11:32:33,0.623276
2014-08-04,11:32:34,0.5
2014-08-04,11:32:35,0.5
2014-08-04,11:32:36,0.421717
2014-08-04,11:32:37,0.41518
2014-08-04,11:32:38,0.540743
2014-08-04,11:32:39,0.576548
2014-08-04,11:32:40,0.586461
2014-08-04,11:32:41,0.585056
2014-08-04,11:32:42,0.551322
2014-08-04,11:32:43,0.586485
2014-08-04,11:32:44,0.545334
2014-08-04,11:32:45,0.517509
2014-08-04,11:32:46,0.47416
2014-08-04,11:32:47,0.5
2014-08-04,11:32:48,0.441026
2014-08-04,11:32:49,0.438115
2014-08-04,11:32:50,0.431257
2014-08-04,11:32:51,0.397677
2014-08-04,11:32:52,0.34807
2014-08-04,11:32:53,0.327261
2014-08-04,11:32:54,0.323783
2014-08-04,11:32:55,0.288816
2014-08-04,11:32:56,0.277818
2014-08-04,11:32:57,0.280275
2014-08-04,11:32:58,0.27752
2014-08-04,11:32:59,0.316846
2014-08-04,11:33:00,0.28669
2014-08-04,11:33:01,0.281165
2014-08-04,11:33:02,0.2509
2014-08-04,11:33:03,0.24673
2014-08-04,11:33:04,0.244432
2014-08-04,11:33:05,0.246418
2014-08-04,11:33:06,0.244627
2014-08-04,11:33:07,0.131479
2014-08-04,11:33:08,0.131716
2014-08-04,11:33:19,0.116283
2014-08-04,11:33:20,0.153116
2014-08-04,11:33:21,0.166675
2014-08-04,11:33:22,0.15801
2014-08-04,11:33:23,0.104938
2014-08-04,11:33:50,0.108257
2014-08-04,11:33:52,0.107134
2014-08-04,11:33:54,0.135605
2014-08-04,11:33:55,0.163527
2014-08-04,11:33:56,0.183888
2014-08-04,11:33:57,0.214471
2014-08-04,11:36:00,0.428508
2014-08-04,11:36:01,0.458356
2014-08-04,11:36:02,0.425299
2014-08-04,11:36:03,0.439305
2014-08-04,11:36:04,0.457243
2014-08-04,11:36:05,0.531539
2014-08-04,11:36:06,0.521388
2014-08-04,11:36:07,0.562369
2014-08-04,11:36:08,0.561801
2014-08-04,11:36:09,0.529998
2014-08-04,11:36:10,0.559862
2014-08-04,11:36:12,0.58987
2014-08-04,11:36:13,0.558811
2014-08-04,11:36:14,0.562095
2014-08-04,11:36:15,0.485712
2014-08-04,11:36:16,0.484274
2014-08-04,11:36:17,0.43593
2014-08-04,11:36:18,0.353181
2014-08-04,11:36:20,0.337741
2014-08-04,11:36:21,0.328839
2014-08-04,11:36:22,0.32705
2014-08-04,11:36:23,0.373693
2014-08-04,11:36:24,0.315731
2014-08-04,11:36:25,0.303593
2014-08-04,11:36:26,0.297608
2014-08-04,11:36:27,0.259478
2014-08-04,11:36:28,0.306024
2014-08-04,11:36:29,0.27129
2014-08-04,11:36:30,0.228426
