date,time,stress,smoked
2014-08-04,11:24:57,0.104936,-1
2014-08-04,11:24:58,0.139338,-1
2014-08-04,11:24:59,0.140865,-1
2014-08-04,11:25:00,0.139316,-1
2014-08-04,11:25:01,0.112195,-1
2014-08-04,11:25:02,0.112195,-1
2014-08-04,11:25:10,0.124057,-1
2014-08-04,11:25:11,0.12646,-1
2014-08-04,11:25:12,0.12656,-1
2014-08-04,11:25:13,0.130105,-1
2014-08-04,11:25:14,0.130105,-1
2014-08-04,11:25:15,0.130105,-1
2014-08-04,11:25:16,0.115345,-1
2014-08-04,11:25:17,0.111187,-1
2014-08-04,11:25:18,0.108061,-1
2014-08-04,11:25:19,0.102499,-1
2014-08-04,11:25:29,0.103286,-1
2014-08-04,11:25:31,0.14838,-1
2014-08-04,11:26:34,0.149238,-1
2014-08-04,11:26:35,0.149238,-1
2014-08-04,11:26:36,0.152215,-1
2014-08-04,11:26:37,0.122767,-1
2014-08-04,11:26:38,0.122251,-1
2014-08-04,11:26:39,0.126496,-1
2014-08-04,11:26:40,0.167639,-1
2014-08-04,11:26:41,0.16515,-1
2014-08-04,11:26:42,0.160661,-1
2014-08-04,11:26:43,0.196928,-1
2014-08-04,11:26:44,0.18546,-1
2014-08-04,11:31:19,0.108668,-1
2014-08-04,11:31:29,0.100715,-1
2014-08-04,11:31:30,0.103153,-1
2014-08-04,11:31:33,0.107347,-1
2014-08-04,11:31:34,0.108937,-1
2014-08-04,11:31:35,0.109999,-1
2014-08-04,11:31:36,0.157474,-1
2014-08-04,11:31:37,0.15757,-1
2014-08-04,11:31:38,0.168547,-1
2014-08-04,11:31:39,0.169608,-1
2014-08-04,11:31:40,0.102902,-1
2014-08-04,11:31:41,0.101663,-1
2014-08-04,11:31:43,0.140816,-1
2014-08-04,11:31:47,0.101902,-1
2014-08-04,11:31:48,0.13228,-1
2014-08-04,11:31:49,0.162813,-1
2014-08-04,11:31:50,0.13343,-1
2014-08-04,11:31:51,0.209972,-1
2014-08-04,11:31:52,0.287857,-1
2014-08-04,11:31:53,0.295952,-1
2014-08-04,11:31:54,0.278398,-1
2014-08-04,11:31:55,0.294721,-1
2014-08-04,11:31:56,0.29242,-1
2014-08-04,11:31:57,0.300477,-1
2014-08-04,11:31:58,0.331652,-1
2014-08-04,11:31:59,0.325888,-1
2014-08-04,11:32:00,0.340956,1
2014-08-04,11:32:01,0.347943,-1
2014-08-04,11:32:02,0.348254,-1
2014-08-04,11:32:04,0.356565,-1
2014-08-04,11:32:05,0.346892,-1
2014-08-04,11:32:06,0.338155,-1
2014-08-04,11:32:07,0.334317,-1
2014-08-04,11:32:08,0.309035,-1
2014-08-04,11:32:09,0.304657,-1
2014-08-04,11:32:10,0.330602,-1
2014-08-04,11:32:12,0.339858,-1
2014-08-04,11:32:13,0.354054,-1
2014-08-04,11:32:14,0.354823,-1
2014-08-04,11:32:15,0.352922,-1
2014-08-04,11:32:16,0.354689,-1
2014-08-04,11:32:17,0.62064,-1
2014-08-04,11:32:18,0.600527,-1
2014-08-04,11:32:19,0.620517,-1
2014-08-04,11:32:20,0.712294,-1
2014-08-04,11:32:21,0.606051,-1
2014-08-04,11:32:22,0.621616,-1
2014-08-04,11:32:23,0.549249,-1
2014-08-04,11:32:24,0.561496,-1
2014-08-04,11:32:25,0.577748,-1
2014-08-04,11:32:26,0.583708,-1
2014-08-04,11:32:28,0.585595,-1
